"Ticker","TimeFrame","Today's Price","Previous High Date","Previous High Price","Breakout date","Time since Breakout","Percentage Above Retest level"
"NH","Daily","1915.8","2025-04-21","1871.6","2025-06-13","38 Days","2.3616197"
"MPHASIS","Daily","2802.9","2025-05-16","2643.1","2025-06-10","41 Days","6.045923"
"THEJO","Daily","2258.1","2025-05-16","2129.0","2025-07-09","12 Days","6.0638847"
"INDRAMEDCO","Daily","476.6","2025-05-19","456.15","2025-06-30","21 Days","4.483177"
"SPLPETRO","Daily","807.3","2025-05-20","744.5","2025-06-10","41 Days","8.43519"
"DLINKINDIA","Daily","522.9","2025-05-19","515.9","2025-06-09","42 Days","1.356852"
"DBCORP","Daily","283.15","2025-04-21","261.79","2025-06-04","47 Days","8.159206"
"AUBANK","Daily","752.9","2025-04-29","713.0","2025-05-27","55 Days","5.5960765"
"PURVA","Daily","286.15","2025-04-23","272.01","2025-06-04","47 Days","5.1983323"
"ELECTCAST","Daily","116.4","2025-05-20","114.98","2025-06-10","41 Days","1.2349957"
"ULTRACEMCO","Daily","12577.0","2025-04-28","12339.0","2025-07-02","19 Days","1.9288435"
"ITI","Daily","314.6","2025-04-23","292.39","2025-05-27","55 Days","7.596016"
"MAITHANALL","Daily","1132.8","2025-04-24","1040.0","2025-05-26","56 Days","8.923081"
"INDIAMART","Daily","2600.2","2025-04-30","2435.7","2025-06-05","46 Days","6.7537055"
"LLOYDSENGG","Daily","78.91","2025-04-25","72.89","2025-07-01","20 Days","8.259027"
